Dataset,Metric,Baseline_Mean,Improved_Mean,Difference,Statistic,Raw_p,Adjusted_p,Significant
tensorflow,Accuracy,0.6870246085011186,0.92751677852349,0.24049217002237144,0.0,1.7256857880058036e-06,1.1920936254280526e-05,True
tensorflow,Precision,0.6434102775383231,0.8917099198478872,0.24829964230956403,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
tensorflow,Recall,0.7278035397235936,0.8666551012940747,0.13885156157048117,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
tensorflow,F1,0.6313690488483531,0.877850677071088,0.2464816282227349,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
tensorflow,AUC,0.7573209704955851,0.9674090550820194,0.21008808458643424,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
pytorch,Accuracy,0.7815634218289085,0.9085545722713864,0.12699115044247788,0.0,1.7159286750586906e-06,1.1920936254280526e-05,True
pytorch,Precision,0.6164499780905306,0.8022385627416136,0.18578858465108306,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
pytorch,Recall,0.6915442587122569,0.77008741197443,0.0785431532621731,8.0,4.6566128730773926e-08,3.725290298461914e-07,True
pytorch,F1,0.6282524698845627,0.7782852202094201,0.1500327503248574,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
pytorch,AUC,0.7435810669285217,0.9312229028434926,0.18764183591497097,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
keras,Accuracy,0.7472636815920397,0.8963515754560534,0.14908789386401367,0.0,1.7040659206732472e-06,1.1920936254280526e-05,True
keras,Precision,0.6685388986423898,0.8511522714866037,0.18261337284421386,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
keras,Recall,0.7362757506827592,0.814259186460092,0.0779834357773328,4.0,1.30385160446167e-08,1.434236764907837e-07,True
keras,F1,0.6780052831753192,0.8276765365529715,0.1496712533776523,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
keras,AUC,0.7699645362091255,0.9284100244583322,0.15844548824920668,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
incubator-mxnet,Accuracy,0.8232258064516128,0.91247311827957,0.0892473118279572,0.0,2.5338805228844166e-06,1.1920936254280526e-05,True
incubator-mxnet,Precision,0.6457927943320108,0.8101416830788823,0.1643488887468716,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
incubator-mxnet,Recall,0.7123408481116331,0.7615108220593001,0.04916997394766698,62.0,0.00020912662148475647,0.00020912662148475647,True
incubator-mxnet,F1,0.6614675272347655,0.7770285941983431,0.1155610669635776,5.0,1.862645149230957e-08,1.862645149230957e-07,True
incubator-mxnet,AUC,0.7620405025346383,0.937517226170682,0.17547672363604372,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
caffe,Accuracy,0.7682170542635659,0.9286821705426358,0.1604651162790699,0.0,1.7029908934686465e-06,1.1920936254280526e-05,True
caffe,Precision,0.5788249942326991,0.8602318123882307,0.2814068181555316,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
caffe,Recall,0.6107350744763541,0.7751519230705116,0.1644168485941575,6.0,2.60770320892334e-08,2.3469328880310059e-07,True
caffe,F1,0.5647367871478693,0.7992907345851311,0.23455394743726177,0.0,1.733306644199106e-06,1.1920936254280526e-05,True
caffe,AUC,0.6808617787420391,0.9517350255816825,0.2708732468396434,0.0,1.862645149230957e-09,4.6566128730773926e-08,True
